,Atual,2023,2022,2021,2020,2019,acao
CAGR RECEITAS 5 ANOS,"24,48%",-%,-%,-%,-%,-%,matd3
CAGR LUCROS 5 ANOS,"0,18%",-%,-%,-%,-%,-%,matd3
P/L,"7,34","8,01","4,73","7,58","16,82","23,48",kepl3
P/RECEITA (PSR),"1,19","1,30","1,00","0,96","1,70","1,51",kepl3
P/VP,"2,48","2,70","3,03","2,54","2,20","1,89",kepl3
DIVIDEND YIELD (DY),"8,47%","7,86%","9,91%","4,28%","1,44%","1,18%",kepl3
PAYOUT,"62,14%","94,84%","46,89%","32,42%","24,21%","27,81%",kepl3
MARGEM LÍQUIDA,"16,22%","16,22%","21,07%","12,61%","10,08%","6,44%",kepl3
MARGEM BRUTA,"29,68%","29,68%","36,48%","27,03%","24,21%","24,89%",kepl3
MARGEM EBIT,"19,96%","19,96%","28,54%","16,71%","11,98%","8,99%",kepl3
MARGEM EBITDA,"22,27%","22,27%","22,92%","19,26%","16,20%","11,94%",kepl3
EV/EBITDA,"4,87","5,36","3,95","4,65","8,04","12,15",kepl3
EV/EBIT,"5,44","5,98","3,17","5,36","10,87","16,13",kepl3
P/EBITDA,"5,34","5,83","4,35","4,96","10,47","12,67",kepl3
P/EBIT,"5,96","6,51","3,49","5,72","14,15","16,82",kepl3
P/ATIVO,"1,22","1,34","1,42","1,15","1,20","1,30",kepl3
P/CAP.GIRO,"4,81","5,25","5,35","9,10","7,41","5,86",kepl3
P/ATIVO CIRC LIQ,"-3,68","-4,01","-5,01","-2,96","-2,85","-2,37",kepl3
VPA,"4,04","4,04","6,65","15,41","17,28","15,60",kepl3
LPA,"1,36","1,36","4,26","5,16","2,26","1,25",kepl3
GIRO ATIVOS,"1,03","1,03","1,43","1,20","0,71","0,86",kepl3
ROE,"33,77%","33,77%","64,04%","33,50%","13,07%","8,04%",kepl3
ROIC,"26,14%","26,14%","49,59%","29,41%","11,01%","8,33%",kepl3
ROA,"16,67%","16,67%","30,03%","15,18%","7,13%","5,56%",kepl3
DÍVIDA LÍQUIDA / EBITDA,"-0,47","-0,47","-0,40","-0,32","-2,43","-0,52",kepl3
DÍVIDA LÍQUIDA / EBIT,"-0,53","-0,53","-0,32","-0,36","-3,29","-0,69",kepl3
DÍVIDA BRUTA / PATRIMÔNIO,"0,27","0,27","0,29","0,12","0,03","0,09",kepl3
PATRIMÔNIO / ATIVOS,"0,49","0,49","0,47","0,45","0,55","0,69",kepl3
PASSIVOS / ATIVOS,"0,51","0,51","0,53","0,55","0,45","0,28",kepl3
LIQUIDEZ CORRENTE,"1,62","1,62","1,59","1,26","1,39","1,98",kepl3
CAGR RECEITAS 5 ANOS,"20,98%","21,28%","25,70%","20,87%","-1,00%","-8,42%",kepl3
CAGR LUCROS 5 ANOS,"45,53%","96,93%",-%,-%,"61,08%","-22,30%",kepl3
P/L,"9,71","11,44","9,58","12,98","18,66","22,38",grnd3
P/RECEITA (PSR),"2,22","2,62","2,17","3,33","3,99","5,35",grnd3
P/VP,"1,48","1,74","1,25","1,91","1,79","3,01",grnd3
DIVIDEND YIELD (DY),"23,13%","19,63%","5,07%","10,01%","3,72%","2,61%",grnd3
PAYOUT,"224,50%","224,50%","48,53%","129,97%","69,38%","58,53%",grnd3
MARGEM LÍQUIDA,"22,92%","22,92%","22,61%","25,66%","21,36%","23,90%",grnd3
MARGEM BRUTA,"44,53%","44,53%","40,11%","43,97%","46,10%","45,61%",grnd3
MARGEM EBIT,"12,90%","12,90%","9,52%","16,80%","15,88%","17,07%",grnd3
MARGEM EBITDA,"14,22%","14,22%","14,35%","20,69%","20,52%","20,80%",grnd3
EV/EBITDA,"13,43","16,22","12,23","13,79","15,82","23,03",grnd3
EV/EBIT,"14,80","17,87","18,44","16,99","20,44","28,06",grnd3
P/EBITDA,"15,65","18,44","15,08","16,10","19,42","25,72",grnd3
P/EBIT,"17,24","20,32","22,75","19,83","25,10","31,34",grnd3
P/ATIVO,"1,33","1,57","1,13","1,71","1,62","2,73",grnd3
P/CAP.GIRO,"2,34","2,75","2,12","2,91","2,65","4,70",grnd3
P/ATIVO CIRC LIQ,"-3,94","-4,64","-2,93","-5,22","-5,13","-7,86",grnd3
VPA,"4,06","4,06","4,84","4,54","4,69","4,08",grnd3
LPA,"0,62","0,62","0,63","0,67","0,45","0,55",grnd3
GIRO ATIVOS,"0,60","0,60","0,52","0,51","0,41","0,51",grnd3
ROE,"15,24%","15,24%","13,02%","14,68%","9,58%","13,44%",grnd3
ROIC,"7,41%","7,41%","5,13%","8,03%","6,18%","8,21%",grnd3
ROA,"13,68%","13,68%","11,78%","13,20%","8,67%","12,18%",grnd3
DÍVIDA LÍQUIDA / EBITDA,"-2,22","-2,22","-2,86","-2,31","-3,60","-2,69",grnd3
DÍVIDA LÍQUIDA / EBIT,"-2,44","-2,44","-4,31","-2,84","-4,65","-3,27",grnd3
DÍVIDA BRUTA / PATRIMÔNIO,"0,03","0,03","0,03","0,05","0,02","0,05",grnd3
PATRIMÔNIO / ATIVOS,"0,90","0,90","0,91","0,90","0,90","0,91",grnd3
PASSIVOS / ATIVOS,"0,10","0,10","0,09","0,10","0,10","0,09",grnd3
LIQUIDEZ CORRENTE,"7,02","7,02","7,28","8,02","9,12","8,91",grnd3
CAGR RECEITAS 5 ANOS,"3,28%","0,84%","2,21%","2,75%","-2,95%","-1,50%",grnd3
CAGR LUCROS 5 ANOS,"2,41%","-0,97%","-2,98%","-1,06%","-5,56%","0,40%",grnd3
P/L,"8,46","10,45","8,13","19,58",,,tten3
P/RECEITA (PSR),"0,54","0,67","0,67","0,78",,,tten3
P/VP,"1,45","1,79","1,65","1,86",,,tten3
DIVIDEND YIELD (DY),"1,21%","0,96%","0,16%","0,00%",,,tten3
PAYOUT,"10,21%","10,00%","1,33%","0,00%",,,tten3
MARGEM LÍQUIDA,"6,38%","6,38%","8,30%","3,97%",,,tten3
MARGEM BRUTA,"13,85%","13,85%","15,15%","13,13%",,,tten3
MARGEM EBIT,"4,92%","4,92%","7,81%","6,62%",,,tten3
MARGEM EBITDA,"5,49%","5,49%","8,29%","7,06%",,,tten3
EV/EBITDA,"9,93","12,24","8,52","10,25",,,tten3
EV/EBIT,"11,07","13,65","9,04","10,93",,,tten3
P/EBITDA,"9,83","12,14","8,14","11,03",,,tten3
P/EBIT,"10,97","13,54","8,64","11,75",,,tten3
P/ATIVO,"0,71","0,87","0,76","0,95",,,tten3
P/CAP.GIRO,"2,97","3,66","3,06","2,73",,,tten3
P/ATIVO CIRC LIQ,"-1,97","-2,44","-2,55","-3,99",,,tten3
VPA,"6,72","6,72","5,65","4,49",,,tten3
LPA,"1,15","1,15","1,15","0,43",,,tten3
GIRO ATIVOS,"1,31","1,31","1,13","1,21",,,tten3
ROE,"17,15%","17,15%","20,29%","9,49%",,,tten3
ROIC,"6,45%","6,45%","12,95%","9,98%",,,tten3
ROA,"8,34%","8,34%","9,39%","9,79%",,,tten3
DÍVIDA LÍQUIDA / EBITDA,"0,09","0,09","0,38","-0,77",,,tten3
DÍVIDA LÍQUIDA / EBIT,"0,11","0,11","0,40","-0,82",,,tten3
DÍVIDA BRUTA / PATRIMÔNIO,"0,38","0,38","0,39","0,36",,,tten3
PATRIMÔNIO / ATIVOS,"0,49","0,49","0,46","0,51",,,tten3
PASSIVOS / ATIVOS,"0,51","0,51","0,54","0,49",,,tten3
LIQUIDEZ CORRENTE,"1,59","1,59","1,55","1,83",,,tten3
CAGR RECEITAS 5 ANOS,-,-%,-%,-%,,,tten3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,,,tten3
P/L,"-9,88","-16,04","-26,90","0,00","0,00","0,00",zamp3
P/RECEITA (PSR),"0,25","0,41","0,41","0,00","0,00","0,00",zamp3
P/VP,"0,69","1,13","1,01","0,00","0,00","0,00",zamp3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",zamp3
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",zamp3
MARGEM LÍQUIDA,"-2,55%","-2,55%","-1,53%","-9,95%","-19,91%","1,69%",zamp3
MARGEM BRUTA,"66,55%","66,55%","64,39%","62,42%","59,16%","62,24%",zamp3
MARGEM EBIT,"2,58%","2,58%","2,65%","-6,27%","-17,30%","4,34%",zamp3
MARGEM EBITDA,"9,63%","9,63%","9,11%","1,93%","-7,91%","11,17%",zamp3
EV/EBITDA,"4,45","6,08","6,01","12,75","-3,45","0,60",zamp3
EV/EBIT,"16,59","22,67","20,62","-3,93","-1,58","1,56",zamp3
P/EBITDA,"2,61","4,24","4,52","0,00","0,00","0,00",zamp3
P/EBIT,"9,74","15,81","15,51","0,00","0,00","0,00",zamp3
P/ATIVO,"0,23","0,38","0,36","0,00","0,00","0,00",zamp3
P/CAP.GIRO,"-2,39","-3,88","23,12","0,00","0,00","0,00",zamp3
P/ATIVO CIRC LIQ,"-0,30","-0,49","-0,48","0,00","0,00","0,00",zamp3
VPA,"5,06","5,06","5,39","5,71","6,68","6,49",zamp3
LPA,"-0,36","-0,36","-0,20","-0,99","-1,62","0,18",zamp3
GIRO ATIVOS,"0,93","0,93","0,88","0,72","0,57","0,81",zamp3
ROE,"-7,02%","-7,02%","-3,76%","-17,41%","-24,24%","2,72%",zamp3
ROIC,"3,23%","3,23%","3,53%","-7,44%","-15,04%","5,17%",zamp3
ROA,"-2,38%","-2,38%","-1,35%","-7,18%","-11,33%","1,38%",zamp3
DÍVIDA LÍQUIDA / EBITDA,"1,84","1,84","1,49","12,75","-3,45","0,60",zamp3
DÍVIDA LÍQUIDA / EBIT,"6,85","6,85","5,11","-3,93","-1,58","1,56",zamp3
DÍVIDA BRUTA / PATRIMÔNIO,"0,80","0,80","0,68","0,50","0,45","0,29",zamp3
PATRIMÔNIO / ATIVOS,"0,34","0,34","0,36","0,41","0,47","0,51",zamp3
PASSIVOS / ATIVOS,"0,66","0,66","0,64","0,59","0,53","0,49",zamp3
LIQUIDEZ CORRENTE,"0,69","0,69","1,07","1,07","1,98","1,28",zamp3
CAGR RECEITAS 5 ANOS,"6,02%","10,35%","15,36%",-%,-%,-%,zamp3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,zamp3
P/L,"62,12","64,47","6,49","4,39","-4,84","10,65",mypk3
P/RECEITA (PSR),"0,13","0,13","0,11","0,17","0,27","0,36",mypk3
P/VP,"0,52","0,54","0,46","0,58","0,69","1,11",mypk3
DIVIDEND YIELD (DY),"0,70%","2,34%","7,07%","6,55%","4,28%","0,79%",mypk3
PAYOUT,"43,77%","367,40%","77,42%","0,00%","-26,54%","33,15%",mypk3
MARGEM LÍQUIDA,"0,21%","0,21%","1,65%","3,92%","-5,61%","3,37%",mypk3
MARGEM BRUTA,"10,09%","10,09%","10,67%","12,45%","6,45%","11,83%",mypk3
MARGEM EBIT,"5,23%","5,23%","7,35%","9,36%","-2,11%","6,75%",mypk3
MARGEM EBITDA,"8,38%","8,38%","10,07%","13,20%","4,22%","10,94%",mypk3
EV/EBITDA,"4,56","4,62","3,52","3,76","15,94","5,48",mypk3
EV/EBIT,"7,30","7,39","4,82","5,31","-31,93","8,89",mypk3
P/EBITDA,"1,52","1,58","1,06","1,31","6,44","3,28",mypk3
P/EBIT,"2,44","2,53","1,45","1,84","-12,90","5,31",mypk3
P/ATIVO,"0,13","0,14","0,12","0,16","0,19","0,38",mypk3
P/CAP.GIRO,"0,66","0,68","0,58","1,40","2,94","4,64",mypk3
P/ATIVO CIRC LIQ,"-0,27","-0,28","-0,25","-0,31","-0,33","-0,60",mypk3
VPA,"24,03","24,03","25,50","26,29","22,52","21,00",mypk3
LPA,"0,20","0,20","1,81","3,49","-3,20","2,20",mypk3
GIRO ATIVOS,"1,03","1,03","1,12","0,94","0,71","1,07",mypk3
ROE,"0,83%","0,83%","7,12%","13,29%","-14,20%","10,45%",mypk3
ROIC,"5,96%","5,96%","9,83%","9,94%","-2,19%","9,40%",mypk3
ROA,"0,73%","0,73%","2,66%","4,32%","-3,38%","4,49%",mypk3
DÍVIDA LÍQUIDA / EBITDA,"3,04","3,04","2,46","2,46","9,50","2,20",mypk3
DÍVIDA LÍQUIDA / EBIT,"4,86","4,86","3,36","3,47","-19,03","3,57",mypk3
DÍVIDA BRUTA / PATRIMÔNIO,"1,83","1,83","1,65","1,37","1,48","0,95",mypk3
PATRIMÔNIO / ATIVOS,"0,25","0,25","0,26","0,28","0,28","0,34",mypk3
PASSIVOS / ATIVOS,"0,72","0,72","0,72","0,70","0,69","0,63",mypk3
LIQUIDEZ CORRENTE,"1,63","1,63","1,65","1,33","1,19","1,30",mypk3
CAGR RECEITAS 5 ANOS,"8,35%","9,23%","17,75%","14,96%","5,05%","11,12%",mypk3
CAGR LUCROS 5 ANOS,"-24,14%","-19,13%","38,19%","47,72%",-%,"28,99%",mypk3
P/L,"-31,23","-47,79","54,73","49,53","98,47",,ambp3
P/RECEITA (PSR),"0,36","0,56","0,90","4,18","6,30",,ambp3
P/VP,"1,02","1,56","3,31","8,21","5,40",,ambp3
DIVIDEND YIELD (DY),"1,26%","0,83%","1,45%","0,22%","0,00%",,ambp3
PAYOUT,"-39,45%","-39,45%","79,39%","10,92%","0,00%",,ambp3
MARGEM LÍQUIDA,"-1,17%","-1,17%","1,64%","8,44%","6,40%",,ambp3
MARGEM BRUTA,"23,76%","23,76%","21,59%","24,37%","22,66%",,ambp3
MARGEM EBIT,"18,52%","18,52%","33,83%","19,24%","18,43%",,ambp3
MARGEM EBITDA,"27,01%","27,01%","42,43%","27,25%","28,19%",,ambp3
EV/EBITDA,"4,56","5,28","6,41","19,36","20,39",,ambp3
EV/EBIT,"6,65","7,69","8,04","27,42","31,20",,ambp3
P/EBITDA,"1,35","2,06","2,11","15,33","22,34",,ambp3
P/EBIT,"1,97","3,01","2,65","21,72","34,18",,ambp3
P/ATIVO,"0,15","0,23","0,35","1,47","2,68",,ambp3
P/CAP.GIRO,"0,63","0,97","1,36","11,85","6,30",,ambp3
P/ATIVO CIRC LIQ,"-0,26","-0,40","-0,64","-2,12","-5,67",,ambp3
VPA,"10,43","10,43","6,32","5,21","4,89",,ambp3
LPA,"-0,34","-0,34","0,38","0,86","0,27",,ambp3
GIRO ATIVOS,"0,42","0,42","0,39","0,35","0,43",,ambp3
ROE,"-3,26%","-3,26%","6,04%","16,57%","5,48%",,ambp3
ROIC,"8,18%","8,18%","15,00%","7,77%","10,17%",,ambp3
ROA,"0,49%","0,49%","1,10%","3,47%","3,01%",,ambp3
DÍVIDA LÍQUIDA / EBITDA,"3,21","3,21","4,30","4,03","-1,95",,ambp3
DÍVIDA LÍQUIDA / EBIT,"4,68","4,68","5,39","5,70","-2,98",,ambp3
DÍVIDA BRUTA / PATRIMÔNIO,"4,09","4,09","6,73","3,07","0,25",,ambp3
PATRIMÔNIO / ATIVOS,"0,15","0,15","0,11","0,18","0,50",,ambp3
PASSIVOS / ATIVOS,"0,78","0,78","0,87","0,73","0,25",,ambp3
LIQUIDEZ CORRENTE,"2,37","2,37","2,41","1,67","5,23",,ambp3
CAGR RECEITAS 5 ANOS,-,-%,-%,-%,-%,,ambp3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,,ambp3
P/L,"5,34","7,25","11,02","36,40","37,22","0,00",mtre3
P/RECEITA (PSR),"0,52","0,70","0,51","1,54","4,37","0,00",mtre3
P/VP,"0,48","0,66","0,39","0,92","1,85","0,00",mtre3
DIVIDEND YIELD (DY),"14,82%","12,32%","9,02%","6,75%","0,00%","0,00%",mtre3
PAYOUT,"79,19%","89,33%","99,43%","245,61%","0,00%","0,00%",mtre3
MARGEM LÍQUIDA,"9,70%","9,70%","4,59%","4,24%","11,75%","10,24%",mtre3
MARGEM BRUTA,"19,87%","19,87%","29,19%","34,10%","33,98%","31,82%",mtre3
MARGEM EBIT,"11,25%","11,25%","6,50%","7,05%","9,25%","13,53%",mtre3
MARGEM EBITDA,"12,40%","12,40%","7,20%","7,93%","10,09%","10,93%",mtre3
EV/EBITDA,"8,17","9,66","16,16","19,26","39,75","0,00",mtre3
EV/EBIT,"9,00","10,64","17,90","21,65","43,33","0,00",mtre3
P/EBITDA,"4,18","5,67","7,03","19,45","43,34","0,00",mtre3
P/EBIT,"4,61","6,25","7,79","21,87","47,25","0,00",mtre3
P/ATIVO,"0,22","0,30","0,19","0,56","1,36","0,00",mtre3
P/CAP.GIRO,"0,47","0,63","0,40","1,05","2,07","0,00",mtre3
P/ATIVO CIRC LIQ,"-0,95","-1,28","-0,68","-2,39","-7,55","0,00",mtre3
VPA,"9,36","9,36","9,40","9,08","9,19","0,58",mtre3
LPA,"0,85","0,85","0,33","0,23","0,46","0,30",mtre3
GIRO ATIVOS,"0,43","0,43","0,37","0,36","0,31","0,79",mtre3
ROE,"9,08%","9,08%","3,50%","2,53%","4,97%","52,27%",mtre3
ROIC,"5,06%","5,06%","2,10%","2,71%","2,97%","59,64%",mtre3
ROA,"4,38%","4,38%","1,81%","1,73%","3,71%","8,08%",mtre3
DÍVIDA LÍQUIDA / EBITDA,"3,99","3,99","9,13","-0,20","-3,59","0,00",mtre3
DÍVIDA LÍQUIDA / EBIT,"4,39","4,39","10,12","-0,22","-3,91","0,00",mtre3
DÍVIDA BRUTA / PATRIMÔNIO,"0,66","0,66","0,50","0,11","0,05","0,00",mtre3
PATRIMÔNIO / ATIVOS,"0,46","0,46","0,48","0,61","0,74","0,15",mtre3
PASSIVOS / ATIVOS,"0,53","0,53","0,51","0,37","0,24","0,55",mtre3
LIQUIDEZ CORRENTE,"2,63","2,63","2,84","3,27","5,09","2,76",mtre3
CAGR RECEITAS 5 ANOS,"24,33%","43,88%",-%,-%,-%,-%,mtre3
CAGR LUCROS 5 ANOS,"24,29%","42,22%",-%,-%,-%,-%,mtre3
P/L,"6,69","7,26","4,66","5,17","-9,84","0,00",mdne3
P/RECEITA (PSR),"0,90","0,98","0,62","0,69","1,92","0,00",mdne3
P/VP,"0,78","0,84","0,42","0,40","0,98","0,00",mdne3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",mdne3
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",mdne3
MARGEM LÍQUIDA,"13,54%","13,54%","13,25%","13,39%","-19,50%","-23,62%",mdne3
MARGEM BRUTA,"34,73%","34,73%","33,33%","36,44%","27,07%","39,71%",mdne3
MARGEM EBIT,"14,93%","14,93%","10,95%","10,04%","-14,09%","22,13%",mdne3
MARGEM EBITDA,"15,57%","15,57%","11,57%","10,72%","-13,22%","4,94%",mdne3
EV/EBITDA,"6,02","6,52","3,94","5,56","-16,37","56,73",mdne3
EV/EBIT,"6,28","6,80","4,16","5,93","-15,36","12,66",mdne3
P/EBITDA,"5,81","6,31","5,33","6,45","-14,51","0,00",mdne3
P/EBIT,"6,06","6,59","5,63","6,89","-13,62","0,00",mdne3
P/ATIVO,"0,30","0,33","0,17","0,16","0,47","0,00",mdne3
P/CAP.GIRO,"1,29","1,40","0,72","0,76","2,12","0,00",mdne3
P/ATIVO CIRC LIQ,"-0,51","-0,55","-0,28","-0,29","-0,82","0,00",mdne3
VPA,"15,80","15,80","13,92","12,66","11,81","1,07",mdne3
LPA,"1,84","1,84","1,25","0,98","-1,18","-1,13",mdne3
GIRO ATIVOS,"0,33","0,33","0,28","0,23","0,25","0,18",mdne3
ROE,"11,62%","11,62%","8,96%","7,72%","-9,98%","-106,42%",mdne3
ROIC,"7,99%","7,99%","4,98%","4,03%","-7,35%","6,54%",mdne3
ROA,"4,53%","4,53%","3,73%","3,15%","-5,03%","-4,42%",mdne3
DÍVIDA LÍQUIDA / EBITDA,"0,20","0,20","-1,39","-0,90","-1,85","56,73",mdne3
DÍVIDA LÍQUIDA / EBIT,"0,21","0,21","-1,47","-0,96","-1,74","12,66",mdne3
DÍVIDA BRUTA / PATRIMÔNIO,"0,25","0,25","0,11","0,12","0,13","12,62",mdne3
PATRIMÔNIO / ATIVOS,"0,39","0,39","0,42","0,40","0,48","0,04",mdne3
PASSIVOS / ATIVOS,"0,61","0,61","0,58","0,60","0,52","0,82",mdne3
LIQUIDEZ CORRENTE,"2,39","2,39","2,78","1,85","2,12","1,28",mdne3
CAGR RECEITAS 5 ANOS,"23,07%","26,18%","5,57%","0,55%","-7,91%","-13,69%",mdne3
CAGR LUCROS 5 ANOS,-,-%,"57,94%",-%,-%,-%,mdne3
P/L,"-23,76","-37,26","-34,08","-1.777,36","-3.853,88","-258,99",rcsl3
P/RECEITA (PSR),"3,43","5,38","5,84","48,63","185,67","48,02",rcsl3
P/VP,"414,37","649,99","-78,22","-70,70","-81,88","-13,36",rcsl3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",rcsl3
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",rcsl3
MARGEM LÍQUIDA,"-14,45%","-14,45%","-17,14%","-2,74%","-4,82%","-18,54%",rcsl3
MARGEM BRUTA,"11,17%","11,17%","12,18%","13,48%","19,74%","23,47%",rcsl3
MARGEM EBIT,"-4,05%","-4,05%","9,60%","1,41%","2,32%","1,29%",rcsl3
MARGEM EBITDA,"-1,70%","-1,70%","11,14%","2,88%","5,90%","-1,71%",rcsl3
EV/EBITDA,"-110,70","-182,34","29,70","842,78","1.408,88","-2.800,06",rcsl3
EV/EBIT,"-46,54","-76,66","34,46","1.726,79","3.583,92","3.733,41",rcsl3
P/EBITDA,"-201,40","-315,92","52,45","1.687,30","3.144,44","-2.800,36",rcsl3
P/EBIT,"-84,67","-132,82","60,87","3.457,16","7.998,84","3.733,82",rcsl3
P/ATIVO,"3,21","5,04","7,44","43,76","120,21","23,08",rcsl3
P/CAP.GIRO,"27,23","42,71","61,35","649,57","-938,87","-14,36",rcsl3
P/ATIVO CIRC LIQ,"-5,97","-9,36","-15,07","-90,56","-211,89","-38,61",rcsl3
VPA,-,"0,003692","-0,02","-0,08","-0,13","-0,13",rcsl3
LPA,"-0,06","-0,06","-0,05","-0,00","-0,00","-0,01",rcsl3
GIRO ATIVOS,"0,94","0,94","1,27","0,90","0,65","0,48",rcsl3
ROE,"-1.744,26%","-1.744,26%","-229,53%","-3,98%","-2,12%","-5,16%",rcsl3
ROIC,"-489,36%","-489,36%","-127,15%","-2,05%","-1,03%","-0,36%",rcsl3
ROA,"-8,54%","-8,54%","-21,84%","-2,46%","-3,11%","-8,94%",rcsl3
DÍVIDA LÍQUIDA / EBITDA,"0,55","0,55","-0,19","-2,63","-0,67","0,30",rcsl3
DÍVIDA LÍQUIDA / EBIT,"0,23","0,23","-0,22","-5,38","-1,69","-0,40",rcsl3
DÍVIDA BRUTA / PATRIMÔNIO,-,"0,00","0,00","-0,00","-0,00","-0,00",rcsl3
PATRIMÔNIO / ATIVOS,"0,01","0,007752","-0,10","-0,62","-1,47","-1,73",rcsl3
PASSIVOS / ATIVOS,"0,99","0,99","1,10","1,62","2,47","4,02",rcsl3
LIQUIDEZ CORRENTE,"1,34","1,34","1,32","1,15","0,77","0,20",rcsl3
CAGR RECEITAS 5 ANOS,"24,91%",-%,-%,-%,-%,"55,45%",rcsl3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,rcsl3
P/L,"21,67","23,82","27,43","13,49","13,47","8,25",elet6
P/RECEITA (PSR),"2,65","2,92","2,93","2,02","2,94","3,18",elet6
P/VP,"0,88","0,96","0,90","1,00","1,16","1,24",elet6
DIVIDEND YIELD (DY),"3,50%","3,18%","3,46%","7,99%","4,93%","0,00%",elet6
PAYOUT,"20,76%","20,76%","61,47%","101,23%","62,38%","15,36%",elet6
MARGEM LÍQUIDA,"12,24%","12,24%","10,67%","15,01%","21,80%","38,58%",elet6
MARGEM BRUTA,"49,75%","49,75%","53,46%","68,20%","72,63%","75,55%",elet6
MARGEM EBIT,"36,95%","36,95%","22,66%","34,69%","29,66%","30,48%",elet6
MARGEM EBITDA,"46,70%","46,70%","26,50%","35,26%","30,32%","44,73%",elet6
EV/EBITDA,"7,96","8,42","14,84","8,14","13,17","9,92",elet6
EV/EBIT,"10,05","10,64","17,36","8,27","13,46","14,55",elet6
P/EBITDA,"5,68","6,25","11,05","5,74","9,68","7,11",elet6
P/EBIT,"7,18","7,89","12,92","5,84","9,90","10,44",elet6
P/ATIVO,"0,37","0,41","0,37","0,40","0,48","0,50",elet6
P/CAP.GIRO,"4,75","5,23","4,27","4,80","4,54","5,85",elet6
P/ATIVO CIRC LIQ,"-0,45","-0,49","-0,45","-0,51","-0,64","-0,65",elet6
VPA,"48,69","48,69","47,90","32,99","31,85","30,73",elet6
LPA,"1,97","1,97","1,58","2,45","2,75","4,64",elet6
GIRO ATIVOS,"0,14","0,14","0,13","0,20","0,16","0,16",elet6
ROE,"4,05%","4,05%","3,29%","7,42%","8,63%","15,09%",elet6
ROIC,"6,19%","6,19%","4,12%","6,42%","6,63%","6,13%",elet6
ROA,"1,65%","1,65%","1,35%","3,03%","3,57%","6,05%",elet6
DÍVIDA LÍQUIDA / EBITDA,"2,40","2,40","3,75","2,00","3,42","2,83",elet6
DÍVIDA LÍQUIDA / EBIT,"3,03","3,03","4,38","2,03","3,50","4,16",elet6
DÍVIDA BRUTA / PATRIMÔNIO,"0,54","0,54","0,54","0,59","0,65","0,69",elet6
PATRIMÔNIO / ATIVOS,"0,42","0,42","0,41","0,40","0,41","0,40",elet6
PASSIVOS / ATIVOS,"0,58","0,58","0,59","0,59","0,59","0,60",elet6
LIQUIDEZ CORRENTE,"1,76","1,76","1,89","1,66","1,71","1,59",elet6
CAGR RECEITAS 5 ANOS,"6,03%","0,55%","-2,09%","-9,14%","-2,25%","-3,12%",elet6
CAGR LUCROS 5 ANOS,"-16,37%","-21,80%",-%,"10,21%",-%,-%,elet6
P/L,"100,19","109,40","4,90","8,11","0,00",,jall3
P/RECEITA (PSR),"1,30","1,42","1,28","2,18","0,00",,jall3
P/VP,"1,05","1,15","1,09","2,39","0,00",,jall3
DIVIDEND YIELD (DY),"6,16%","5,65%","2,33%","2,81%","0,00%",,jall3
PAYOUT,"617,64%","617,64%","11,41%","22,81%","0,00%",,jall3
MARGEM LÍQUIDA,"1,30%","1,30%","26,09%","26,94%","14,16%",,jall3
MARGEM BRUTA,"21,70%","21,70%","-12,53%","63,44%","53,05%",,jall3
MARGEM EBIT,"14,08%","14,08%","11,52%","47,64%","43,87%",,jall3
MARGEM EBITDA,"56,45%","56,45%","50,05%","38,69%","78,44%",,jall3
EV/EBITDA,"5,39","5,60","4,88","8,76","1,61",,jall3
EV/EBIT,"21,59","22,44","21,18","7,12","2,88",,jall3
P/EBITDA,"2,30","2,51","2,55","5,64","0,00",,jall3
P/EBIT,"9,23","10,08","11,09","4,59","0,00",,jall3
P/ATIVO,"0,32","0,35","0,39","0,84","0,00",,jall3
P/CAP.GIRO,"1,16","1,27","1,70","2,89","0,00",,jall3
P/ATIVO CIRC LIQ,"-0,52","-0,56","-0,61","-1,60","0,00",,jall3
VPA,"6,83","6,83","7,00","4,38","1,83",,jall3
LPA,"0,07","0,07","1,56","1,29","0,71",,jall3
GIRO ATIVOS,"0,25","0,25","0,31","0,38","0,54",,jall3
ROE,"1,05%","1,05%","22,27%","29,43%","38,99%",,jall3
ROIC,"3,88%","3,59%","3,89%","20,02%","23,80%",,jall3
ROA,"0,32%","0,32%","8,04%","10,37%","7,71%",,jall3
DÍVIDA LÍQUIDA / EBITDA,"3,08","3,08","2,32","3,11","1,61",,jall3
DÍVIDA LÍQUIDA / EBIT,"12,36","12,36","10,08","2,53","2,88",,jall3
DÍVIDA BRUTA / PATRIMÔNIO,"1,94","1,94","1,45","1,32","3,48",,jall3
PATRIMÔNIO / ATIVOS,"0,31","0,31","0,36","0,35","0,20",,jall3
